Authors,Title,Booktitle,Bookaddress,Year,Volume,Issue,Pages,Chapters,Cited by,Editors,Journals,Publisher,Conference name,Conference date,Conference location,ISBN,Document Type
"Govindasamy N., Long H., Jeong H.-W., Raman R., Özcifci B., Probst S., Arnold S.J., Riehemann K., Ranga A., Adams R.H., Trappmann B., Bedzhov I.",3D biomimetic platform reveals the first interactions of the embryo and the maternal blood vessels,,,2021,56,23,3276-3287,,4,,Developmental Cell,Cell Press,,,,,Article
"Velez D.O., Ranamukhaarachchi S.K., Kumar A., Modi R.N., Lim E.W., Engler A.J., Metallo C.M., Fraley S.I.","3D collagen architecture regulates cell adhesion through degradability, thereby controlling metabolic and oxidative stress",,,2019,11,5,221-234,,12,,Integrative biology : quantitative biosciences from nano to macro,NLM (Medline),,,,,Article
"Sima F., Kawano H., Miyawaki A., Obata K., Serien D., Sugioka K.",3D glass nanofluidics fabricated by femtosecond laser processing for study of cancer cell metastasis and invasion,,,2020,11267,1,,,0,"Raciukaitis G., Molpeceres C., Qiao J., Narazaki A.",Proceedings of SPIE - The International Society for Optical Engineering,SPIE,Laser Applications in Microelectronic and Optoelectronic Manufacturing (LAMOM) XXV,3-Feb-20,"San Francisco, USA",9781510632974,Conference Paper
"Lu Y., Deng R., You H., Lu P.",3D in vitro culture system to study collective migration in mammary organoid epithelium,,,2021,2,3,,,2,,STAR Protocols,Cell Press,,,,9781510614833,Article
"Berdeu A., Laperrousaz B., Bordy T., Morales S., Gidrol X., Picollet-D'Hahan N., Allier C.",3D+time acquisitions of 3D cell culture by means of lens-free tomographic microscopy,,,2018,10499,1,,,2,"Wilson T., Cogswell C.J., Brown T.G.",Progress in Biomedical Optics and Imaging - Proceedings of SPIE,SPIE,Three-Dimensional and Multidimensional Microscopy: Image Acquisition and Processing XXV,29-Jan-18,"San Francisco, USA",9781510614833,Conference Paper
"Grottkau B.E., Hui Z., Ye C., Pang Y.",3D-printed insert-array and 3D-coculture-array for high-throughput screening of cell migration and application to study molecular and cellular influences,,,2020,15,5,,,0,,Biomedical Materials (Bristol),IOP Publishing Ltd,,,,9780128203101,Article
"Huang Y., Gompper G., Sabass B.",A Bayesian traction force microscopy method with automated denoising in a user-friendly software package,,,2020,256,1,,,6,,Computer Physics Communications,Elsevier B.V.,,,,,Article
"Bocci F., Jolly M.K., Onuchic J.N.",A biophysical model uncovers the size distribution of migrating cell clusters across cancer types,,,2019,79,21,5527-5535,,21,,Cancer Research,American Association for Cancer Research Inc.,,,,,Article
"Escobedo R., Lecheval V., Papaspyros V., Bonnet F., Mondada F., Sire C., Theraulaz G.",A data-driven method for reconstructing and modelling social interactions in moving animal groups: Reconstructing social interactions,,,2020,375,1807,,,8,,Philosophical Transactions of the Royal Society B: Biological Sciences,Royal Society Publishing,,,,,Article
"Kotian N., Troike K.M., Curran K.N., Lathia J.D., McDonald J.A.",A Drosophila RNAi screen reveals conserved glioblastoma-related adhesion genes that regulate collective cell migration,,,2022,12,1,,,0,,"G3: Genes, Genomes, Genetics",Genetics Society of America,,,,,Article
"Lei R., Yang Y., Yu C., Xu Y., Li Y., Li J.",A facile preparation of PEO-LiClO4-fumed SiO2composite solid-state electrolyte with improved electrochemical performance for lithium-metal batteries,,,2021,5,5,1538-1547,,2,,Sustainable Energy and Fuels,Royal Society of Chemistry,,,,,Article
"Escribano J., Sunyer R., Sánchez M. T., Trepat X., Roca-Cusachs P., García-Aznar J. M.",A hybrid computational model for collective cell durotaxis,,,2018,17,4,1037-1052,,23,,Biomechanics and Modeling in Mechanobiology,Springer Verlag,,,,,Article
"Di Costanzo E., Menci M., Messina E., Natalini R., Vecchio A.",A hybrid model of collective motion of discrete particles under alignment and continuum chemotaxis,,,2020,25,1,443-472,,8,,Discrete and Continuous Dynamical Systems - Series B,American Institute of Mathematical Sciences,,,,,Article
"Rocha H. L., Almeida R. C., Lima E. A. B. F., Resende A. C. M., Oden J. T., Yankeelov T. E.",A hybrid three-scale model of tumor growth,,,2018,28,1,61-93,,21,,Mathematical Models and Methods in Applied Sciences,World Scientific Publishing Co. Pte Ltd,,,,,Article
"Malinova T.S., Angulo-Urarte A., Nüchel J., Tauber M., van der Stoel M.M., Janssen V., de Haan A., Groenen A.G., Tebbens M., Graupera M., Plomann M., Huveneers S.",A junctional PACSIN2/EHD4/MICAL-L1 complex coordinates VE-cadherin trafficking for endothelial migration and angiogenesis,,,2021,12,1,,,5,,Nature Communications,Nature Research,,,,,Article
"Barua A., Nava-Sedeño J.M., Meyer-Hermann M., Hatzikirou H.",A least microenvironmental uncertainty principle (LEUP) as a generative model of collective cell migration mechanisms,,,2020,10,1,,,2,,Scientific Reports,Nature Research,,,,,Article
"Zhang K., Yao E., Lin C., Chou Y.-T., Wong J., Li J., Wolters P.J., Chuang P.-T.",A mammalian Wnt5a–Ror2–Vangl2 axis controls the cytoskeleton and confers cellular properties required for alveologenesis,,,2020,9,1,,,11,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Lin J.-Y., Lo K.-Y., Sun Y.-S.","A microfluidics-based wound-healing assay for studying the effects of shear stresses, wound widths, and chemicals on the wound-healing process",,,2019,9,1,,,10,,Scientific Reports,Nature Research,,,,,Article
"Zhang S., Markey M., Pena C.D., Venkatesh T., Vazquez M.",A micro-optic stalk (μOS) system to model the collective migration of retinal neuroblasts,,,2020,11,4,,,1,,Micromachines,MDPI AG,,,,,Article
"Costa J.G., Keser V., Jackson C., Saraiva N., Guerreiro Í., Almeida N., Camões S.P., Manguinhas R., Castro M., Miranda J.P., Fernandes A.S., Oliveira N.G.",A multiple endpoint approach reveals potential in vitro anticancer properties of thymoquinone in human renal carcinoma cells,,,2020,136,1,,,10,,Food and Chemical Toxicology,Elsevier Ltd,,,,,Article
"Sugihara K., Yamaguchi Y., Usui S., Nashimoto Y., Hanada S., Kiyokawa E., Uemura A., Yokokawa R., Nishiyama K., Miura T.",A new perfusion culture method with a self-organized capillary network,,,2020,15,44844,,,5,,PLoS ONE,Public Library of Science,,,,,Article
